  46.84
 353.00
2260093113
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1999 08 23 12	49075.20	0.00	426.48	0.00	19.27	19.27	1529.03
1999 08 24 12	48729.60	0.00	335.65	0.00	21.70	21.70	1730.61
1999 08 25 12	48728.91	0.00	448.35	0.00	22.10	22.10	1741.01
1999 08 26 12	48384.00	0.00	453.41	0.00	22.11	22.11	1904.60
1999 08 27 12	48239.81	0.00	371.95	0.00	22.71	22.71	1993.70
1999 08 28 12	48038.40	0.67	305.43	0.00	20.96	20.96	1955.27
1999 08 29 12	47697.26	0.13	377.74	0.00	15.92	15.92	1259.23
1999 08 30 12	47692.80	0.00	458.14	0.00	12.94	12.94	1013.73
1999 08 31 12	47347.20	0.00	463.16	0.00	14.20	14.20	968.70
1999 09 01 12	47346.51	0.00	449.72	0.00	17.16	17.16	1156.72
1999 09 02 12	47001.60	0.00	433.39	0.00	19.58	19.58	1400.74
1999 09 03 12	46724.64	0.00	428.22	0.00	22.20	22.20	1766.84
1999 09 04 12	46656.00	0.00	414.88	0.00	22.80	22.80	2057.42
1999 09 05 12	46310.40	0.00	416.60	0.00	22.34	22.34	1985.49
1999 09 06 12	46310.40	0.00	264.47	0.00	21.40	21.40	1987.56
1999 09 07 12	45964.80	0.94	295.10	0.00	21.59	21.59	2139.33
1999 09 08 12	45778.93	17.57	210.58	0.00	20.51	20.51	2189.21
1999 09 09 12	45619.20	19.72	265.07	0.00	21.19	21.19	2198.34
1999 09 10 12	45273.60	27.94	227.66	0.00	20.06	20.06	2123.69
1999 09 11 12	45273.60	26.23	258.88	0.00	19.81	19.81	1961.28
1999 09 12 12	44928.00	0.03	368.16	0.00	14.74	14.74	1168.16
1999 09 13 12	44783.81	0.02	403.09	0.00	15.86	15.86	1221.62
1999 09 14 12	44582.40	0.05	387.48	0.00	15.90	15.90	1409.99
1999 09 15 12	44236.80	0.29	338.26	0.00	17.46	17.46	1597.56
1999 09 16 12	44236.80	1.19	199.57	0.00	14.34	14.34	1308.94
1999 09 17 12	43891.20	51.19	83.20	0.00	10.75	10.75	1216.67
1999 09 18 12	43785.92	6.66	415.32	0.00	12.07	12.07	1052.57
1999 09 19 12	43545.60	0.00	415.63	0.00	11.02	11.02	872.87
1999 09 20 12	43200.00	0.11	371.87	0.00	11.48	11.48	1016.13
1999 09 21 12	43200.00	8.83	181.44	0.00	13.20	13.20	1335.84
1999 09 22 12	42854.40	11.02	92.81	0.00	13.68	13.68	1469.73
1999 09 23 12	42652.99	4.96	305.55	0.00	13.35	13.35	1254.30
1999 09 24 12	42508.80	1.48	214.44	0.00	12.84	12.84	1194.76
1999 09 25 12	42163.20	7.47	257.68	0.00	12.00	12.00	1114.99
1999 09 26 12	42163.20	0.04	389.87	0.00	10.82	10.82	876.66
1999 09 27 12	41817.60	0.03	386.86	0.00	12.39	12.39	945.50
1999 09 28 12	41616.19	0.01	378.61	0.00	14.49	14.49	1189.14
1999 09 29 12	41472.00	0.05	376.74	0.00	15.75	15.75	1473.10
1999 09 30 12	41126.40	11.79	120.98	0.00	14.43	14.43	1499.83
1999 10 01 12	41126.40	2.24	381.44	0.00	11.10	11.10	1003.75
1999 10 02 12	40780.80	0.44	288.00	0.00	9.69	9.69	856.00
1999 10 03 12	40621.07	0.18	254.70	0.00	10.63	10.63	899.65
1999 10 04 12	40435.20	0.11	236.42	0.00	4.92	4.92	566.39
1999 10 05 12	40089.60	0.00	379.10	0.00	2.91	2.91	485.55
1999 10 06 12	40089.60	2.05	124.83	0.00	3.75	3.75	557.42
1999 10 07 12	39744.00	0.33	242.64	0.00	1.76	1.76	521.18
1999 10 08 12	39675.36	1.25	208.83	0.00	0.95	0.95	463.11
1999 10 09 12	39398.40	4.83	98.23	0.00	4.42	4.42	702.38
1999 10 10 12	39053.49	1.56	339.64	0.00	7.50	7.50	784.73
1999 10 11 12	39052.80	10.55	312.73	0.00	9.99	9.99	925.53
1999 10 12 12	38707.20	0.00	277.18	0.00	4.83	4.83	563.67
1999 10 13 12	38707.20	2.13	136.07	0.00	4.15	4.15	639.19
1999 10 14 12	38361.60	18.56	138.94	0.00	6.76	6.76	867.84
1999 10 15 12	38160.19	0.11	335.40	0.00	2.50	2.50	467.36
1999 10 16 12	38016.00	4.84	140.15	0.00	4.18	4.18	659.87
1999 10 17 12	37679.94	2.54	217.31	0.00	10.80	10.80	1123.73
1999 10 18 12	37670.40	6.88	78.61	0.00	5.79	5.79	817.39
1999 10 19 12	37324.80	0.00	279.66	0.00	0.31	0.31	411.95
1999 10 20 12	37320.34	1.12	153.75	0.00	0.99	0.99	519.44
1999 10 21 12	36979.20	0.61	219.43	0.00	3.99	3.99	658.89
1999 10 22 12	36819.47	0.20	254.30	0.00	4.50	4.50	616.90
1999 10 23 12	36633.60	23.58	96.19	0.00	4.60	4.60	735.12
1999 10 24 12	36393.28	3.97	158.25	0.00	4.01	4.01	667.37
1999 10 25 12	36288.00	0.11	210.09	0.00	0.24	0.24	436.84
1999 10 26 12	35982.49	0.47	167.96	0.00	2.09	2.09	524.54
1999 10 27 12	35942.40	0.89	230.83	0.00	2.97	2.97	576.41
1999 10 28 12	35606.34	0.16	272.71	0.00	0.55	0.55	386.17
1999 10 29 12	35596.80	0.12	299.67	0.00	3.04	3.04	514.30
1999 10 30 12	35251.89	0.20	213.35	0.00	2.32	2.32	491.25
1999 10 31 12	35246.74	1.37	187.25	0.00	6.92	6.92	846.74
1999 11 01 12	34905.60	2.39	308.79	0.00	7.21	7.21	729.78
1999 11 02 12	34880.91	0.15	231.06	0.00	6.61	6.61	735.17
1999 11 03 12	34560.00	13.25	95.19	0.00	12.50	12.50	1362.03
1999 11 04 12	34535.31	1.21	155.67	0.00	5.59	5.59	675.75
1999 11 05 12	34215.09	0.90	292.83	0.00	2.68	2.68	498.87
1999 11 06 12	34189.70	0.55	177.49	0.00	3.45	3.45	577.80
1999 11 07 12	33878.34	0.29	153.26	0.00	0.43	0.43	423.25
1999 11 08 12	33864.34	0.05	227.64	0.00	-1.41	-1.41	330.57
1999 11 09 12	33563.29	0.16	146.49	0.00	-1.64	-1.64	275.49
1999 11 10 12	33523.20	0.00	146.68	0.00	0.44	0.44	485.73
1999 11 11 12	33250.70	0.00	300.48	0.00	-3.94	-3.94	221.10
1999 11 12 12	33177.60	0.01	249.90	0.00	-5.05	-5.05	191.21
1999 11 13 12	32976.19	1.98	76.56	0.00	-1.62	-1.62	438.36
1999 11 14 12	32832.00	10.34	137.46	0.00	1.29	1.29	629.49
1999 11 15 12	32763.35	9.69	59.23	0.00	1.38	1.38	635.00
1999 11 16 12	32495.94	5.39	62.64	0.00	-0.67	-0.67	544.52
1999 11 17 12	32481.94	0.94	200.08	0.00	-4.27	-4.27	370.67
1999 11 18 12	32246.08	0.00	149.79	0.00	-4.99	-4.99	315.74
1999 11 19 12	32140.80	0.00	177.50	0.00	-2.96	-2.96	393.96
1999 11 20 12	32072.16	0.82	255.92	0.00	1.94	1.94	613.94
1999 11 21 12	31835.29	2.75	119.39	0.00	3.89	3.89	750.83
1999 11 22 12	31795.20	0.16	147.73	0.00	5.19	5.19	800.85
1999 11 23 12	31635.47	1.35	210.34	0.00	6.95	6.95	888.28
1999 11 24 12	31489.69	0.33	170.24	0.00	4.37	4.37	725.75
1999 11 25 12	31449.60	0.04	198.01	0.00	5.99	5.99	729.82
1999 11 26 12	31289.87	9.08	111.21	0.00	1.42	1.42	499.93
1999 11 27 12	31144.09	23.61	78.71	0.00	7.13	7.13	978.51
1999 11 28 12	31104.00	0.20	162.99	0.00	2.48	2.48	589.36
1999 11 29 12	31035.35	0.07	117.34	0.00	-0.10	-0.10	391.46
1999 11 30 12	30863.68	0.00	154.00	0.00	-2.88	-2.88	212.84
1999 12 01 12	30767.94	0.00	229.02	0.00	-5.34	-5.34	184.40
1999 12 02 12	30753.94	0.00	216.19	0.00	-6.15	-6.15	207.13
1999 12 03 12	30641.53	0.00	201.54	0.00	-3.08	-3.08	315.73
1999 12 04 12	30518.08	0.00	105.52	0.00	-0.07	-0.07	500.19
1999 12 05 12	30422.34	0.22	86.13	0.00	1.12	1.12	595.96
1999 12 06 12	30412.80	2.56	76.24	0.00	4.14	4.14	778.99
1999 12 07 12	30388.11	9.89	74.20	0.00	2.18	2.18	646.79
1999 12 08 12	30295.93	0.42	208.77	0.00	-0.44	-0.44	483.37
1999 12 09 12	30211.40	0.00	202.15	0.00	-0.93	-0.93	446.74
1999 12 10 12	30140.30	0.05	149.13	0.00	-0.03	-0.03	484.17
1999 12 11 12	30076.74	22.04	44.49	0.00	0.99	0.99	622.05
1999 12 12 12	30067.89	5.46	123.33	0.00	0.24	0.24	571.30
1999 12 13 12	30062.74	0.87	95.48	0.00	0.02	0.02	582.64
1999 12 14 12	30042.51	0.94	208.00	0.00	-1.51	-1.51	501.04
1999 12 15 12	29998.56	0.03	198.96	0.00	-2.54	-2.54	337.08
1999 12 16 12	29950.32	1.49	86.79	0.00	-2.19	-2.19	424.95
1999 12 17 12	29950.32	1.21	133.05	0.00	-1.36	-1.36	477.49
1999 12 18 12	29907.47	0.00	153.01	0.00	-7.74	-7.74	220.23
1999 12 19 12	29907.47	0.00	208.77	0.00	-10.05	-10.05	187.20
1999 12 20 12	29865.79	0.00	172.00	0.00	-9.10	-9.10	245.24
1999 12 21 12	29865.79	19.16	178.91	0.00	-1.79	-1.79	480.95
1999 12 22 12	29907.47	0.00	155.55	0.00	-8.60	-8.60	237.02
1999 12 23 12	29907.47	0.00	172.90	0.00	-9.65	-9.65	222.21
1999 12 24 12	29907.47	0.00	187.07	0.00	-13.55	-13.55	159.29
1999 12 25 12	29950.32	0.00	211.48	0.00	-17.96	-17.96	126.93
1999 12 26 12	29998.56	0.17	111.83	0.00	-11.66	-11.66	231.50
1999 12 27 12	30042.51	0.01	67.56	0.00	-10.03	-10.03	246.69
1999 12 28 12	30062.74	0.02	212.47	0.00	-17.31	-17.31	130.70
1999 12 29 12	30067.20	0.19	144.32	0.00	-13.41	-13.41	184.40
1999 12 30 12	30067.89	2.37	104.01	0.00	-13.65	-13.65	192.83
1999 12 31 12	30107.29	0.00	217.24	0.00	-17.43	-17.43	126.02
2000 01 01 12	30172.48	0.17	167.17	0.00	-12.03	-12.03	210.92
2000 01 02 12	30253.07	0.06	161.35	0.00	-4.50	-4.50	397.03
2000 01 03 12	30344.16	10.71	207.87	0.00	-3.35	-3.35	441.94
2000 01 04 12	30408.34	4.88	69.15	0.00	-7.99	-7.99	310.58
2000 01 05 12	30413.49	0.92	227.33	0.00	-6.46	-6.46	367.81
2000 01 06 12	30485.90	0.00	171.31	0.00	-17.33	-17.33	137.18
2000 01 07 12	30598.67	0.24	148.08	0.00	-4.78	-4.78	389.40
2000 01 08 12	30733.71	0.41	216.12	0.00	-8.00	-8.00	291.84
2000 01 09 12	30758.40	0.77	71.09	0.00	-6.99	-6.99	332.46
2000 01 10 12	30798.49	0.00	219.08	0.00	-4.79	-4.79	388.70
2000 01 11 12	30944.27	14.55	80.09	0.00	-2.46	-2.46	486.59
2000 01 12 12	31099.54	1.97	113.79	0.00	-5.41	-5.41	380.01
2000 01 13 12	31104.69	0.00	200.82	0.00	-15.73	-15.73	145.89
2000 01 14 12	31209.28	0.00	122.55	0.00	-22.08	-22.08	80.65
2000 01 15 12	31424.91	0.00	245.38	0.00	-25.03	-25.03	61.36
2000 01 16 12	31449.60	2.79	188.57	0.00	-19.55	-19.55	129.96
2000 01 17 12	31554.88	8.30	193.81	0.00	-13.57	-13.57	182.74
2000 01 18 12	31770.51	0.00	247.67	0.00	-19.25	-19.25	113.54
2000 01 19 12	31795.89	0.00	249.22	0.00	-21.77	-21.77	93.58
2000 01 20 12	31939.40	0.00	249.00	0.00	-20.84	-20.84	103.13
2000 01 21 12	32136.34	0.41	204.65	0.00	-16.84	-16.84	141.67
2000 01 22 12	32150.34	1.39	190.45	0.00	-20.36	-20.36	94.69
2000 01 23 12	32369.53	0.00	258.64	0.00	-22.74	-22.74	80.24
2000 01 24 12	32486.40	2.32	113.70	0.00	-14.19	-14.19	195.52
2000 01 25 12	32591.68	1.07	211.29	0.00	-10.29	-10.29	251.91
2000 01 26 12	32832.00	12.57	81.04	0.00	-4.86	-4.86	399.01
2000 01 27 12	32872.09	1.55	173.95	0.00	-9.39	-9.39	262.35
2000 01 28 12	33152.91	0.86	192.81	0.00	-15.16	-15.16	153.84
2000 01 29 12	33178.29	0.01	281.93	0.00	-13.23	-13.23	186.91
2000 01 30 12	33406.32	0.36	262.41	0.00	-11.49	-11.49	238.59
2000 01 31 12	33523.20	6.59	166.72	0.00	-8.22	-8.22	301.21
2000 02 01 12	33709.07	9.45	214.42	0.00	-4.75	-4.75	386.40
2000 02 02 12	33868.80	0.06	184.56	0.00	-10.76	-10.76	229.99
2000 02 03 12	34012.99	0.00	213.36	0.00	-13.79	-13.79	180.94
2000 02 04 12	34214.40	0.00	310.31	0.00	-19.69	-19.69	110.09
2000 02 05 12	34319.68	0.00	215.00	0.00	-16.34	-16.34	141.71
2000 02 06 12	34560.00	0.23	255.37	0.00	-16.79	-16.79	131.08
2000 02 07 12	34665.28	0.27	209.44	0.00	-15.28	-15.28	160.06
2000 02 08 12	34905.60	0.00	325.39	0.00	-21.18	-21.18	92.72
2000 02 09 12	35010.88	0.16	238.73	0.00	-10.71	-10.71	237.75
2000 02 10 12	35251.20	0.02	325.04	0.00	-14.73	-14.73	167.35
2000 02 11 12	35395.39	7.11	184.86	0.00	-10.45	-10.45	255.22
2000 02 12 12	35596.80	1.88	342.88	0.00	-15.06	-15.06	164.68
2000 02 13 12	35825.52	2.57	172.84	0.00	-18.20	-18.20	132.09
2000 02 14 12	35942.40	26.17	195.17	0.00	-8.21	-8.21	294.43
2000 02 15 12	36219.36	0.12	250.70	0.00	-8.52	-8.52	279.61
2000 02 16 12	36288.00	0.82	215.74	0.00	-10.62	-10.62	253.65
2000 02 17 12	36633.60	1.51	364.41	0.00	-13.95	-13.95	198.85
2000 02 18 12	36633.60	0.04	292.34	0.00	-21.87	-21.87	98.29
2000 02 19 12	36979.20	0.10	344.06	0.00	-13.67	-13.67	175.85
2000 02 20 12	37019.29	0.02	325.35	0.00	-11.98	-11.98	189.83
2000 02 21 12	37324.80	0.05	373.05	0.00	-11.48	-11.48	203.24
2000 02 22 12	37468.99	0.24	352.43	0.00	-15.91	-15.91	146.22
2000 02 23 12	37670.40	1.58	109.58	0.00	-4.04	-4.04	421.03
2000 02 24 12	38011.54	1.39	371.92	0.00	-1.68	-1.68	504.10
2000 02 25 12	38016.00	0.17	386.90	0.00	-7.95	-7.95	276.23
2000 02 26 12	38361.60	0.00	347.05	0.00	-7.65	-7.65	305.63
2000 02 27 12	38362.29	2.90	346.25	0.00	-0.58	-0.58	563.65
2000 02 28 12	38707.20	7.56	139.90	0.00	1.20	1.20	651.84
2000 02 29 12	38893.07	3.78	285.41	0.00	-0.15	-0.15	570.33
2000 03 01 12	39052.80	0.00	429.82	0.00	-1.50	-1.50	488.76
2000 03 02 12	39398.40	3.56	160.95	0.00	-0.55	-0.55	549.05
2000 03 03 12	39398.40	9.76	188.18	0.00	0.00	0.00	574.12
2000 03 04 12	39744.00	3.77	227.55	0.00	-0.18	-0.18	536.51
2000 03 05 12	39784.09	0.84	129.47	0.00	-1.54	-1.54	475.34
2000 03 06 12	40089.60	0.57	191.83	0.00	-1.50	-1.50	462.28
2000 03 07 12	40435.20	0.00	296.18	0.00	-2.11	-2.11	425.76
2000 03 08 12	40435.20	0.00	421.09	0.00	-1.74	-1.74	378.46
2000 03 09 12	40780.80	1.75	131.69	0.00	0.74	0.74	535.86
2000 03 10 12	40780.80	2.07	473.83	0.00	-4.05	-4.05	360.80
2000 03 11 12	41126.40	0.00	386.91	0.00	-5.32	-5.32	196.89
2000 03 12 12	41472.00	13.95	164.48	0.00	-2.41	-2.41	445.12
2000 03 13 12	41472.00	1.73	486.21	0.00	-4.94	-4.94	331.09
2000 03 14 12	41817.60	0.00	254.17	0.00	-7.73	-7.73	244.17
2000 03 15 12	41817.60	0.31	353.28	0.00	-0.36	-0.36	499.59
2000 03 16 12	42163.20	2.51	275.52	0.00	0.33	0.33	525.36
2000 03 17 12	42508.80	0.10	357.06	0.00	-7.27	-7.27	220.33
2000 03 18 12	42508.80	0.00	506.20	0.00	-9.57	-9.57	118.69
2000 03 19 12	42854.40	1.67	479.48	0.00	-4.71	-4.71	196.05
2000 03 20 12	42854.40	0.00	378.70	0.00	-1.26	-1.26	244.54
2000 03 21 12	43200.00	0.00	346.17	0.00	2.20	2.20	319.58
2000 03 22 12	43545.60	0.00	495.80	0.00	3.95	3.95	387.03
2000 03 23 12	43545.60	0.00	303.11	0.00	4.92	4.92	499.48
2000 03 24 12	43891.20	0.00	429.28	0.00	4.49	4.49	508.66
2000 03 25 12	43891.20	0.07	479.53	0.00	4.83	4.83	430.24
2000 03 26 12	44236.80	0.24	289.55	0.00	7.15	7.15	668.75
2000 03 27 12	44582.40	0.00	456.62	0.00	5.40	5.40	539.74
2000 03 28 12	44582.40	3.62	245.03	0.00	4.81	4.81	626.38
2000 03 29 12	44928.00	7.51	185.17	0.00	6.56	6.56	849.99
2000 03 30 12	44928.00	0.57	175.41	0.00	3.86	3.86	637.13
2000 03 31 12	45273.60	0.14	220.09	0.00	3.88	3.88	580.83
2000 04 01 12	45619.20	0.03	275.78	0.00	3.82	3.82	542.65
2000 04 02 12	45619.20	0.41	244.71	0.00	6.15	6.15	589.81
2000 04 03 12	45964.80	0.70	521.73	0.00	7.98	7.98	697.12
2000 04 04 12	45964.80	13.69	138.17	0.00	5.27	5.27	710.79
2000 04 05 12	46310.40	1.42	202.48	0.00	5.32	5.32	763.08
2000 04 06 12	46615.91	0.00	467.15	0.00	2.13	2.13	437.68
2000 04 07 12	46656.00	0.16	334.75	0.00	3.35	3.35	416.87
2000 04 08 12	47001.60	7.72	222.07	0.00	3.98	3.98	612.12
2000 04 09 12	47001.60	10.36	247.49	0.00	10.73	10.73	1159.80
2000 04 10 12	47347.20	2.73	140.26	0.00	1.40	1.40	549.09
2000 04 11 12	47506.93	0.18	335.16	0.00	-1.82	-1.82	230.85
2000 04 12 12	47692.80	7.30	134.34	0.00	-0.84	-0.84	457.19
2000 04 13 12	48037.71	0.00	558.05	0.00	-2.62	-2.62	376.79
2000 04 14 12	48038.40	0.37	504.44	0.00	-1.59	-1.59	350.99
2000 04 15 12	48384.00	10.01	181.96	0.00	2.86	2.86	606.31
2000 04 16 12	48388.46	9.26	438.24	0.00	1.69	1.69	559.88
2000 04 17 12	48729.60	0.00	609.31	0.00	-1.50	-1.50	296.50
2000 04 18 12	48931.01	0.00	612.00	0.00	0.16	0.16	293.71
2000 04 19 12	49075.20	0.66	206.57	0.00	2.51	2.51	517.05
2000 04 20 12	49380.71	0.49	338.96	0.00	4.72	4.72	697.91
2000 04 21 12	49420.80	0.00	463.01	0.00	4.95	4.95	537.28
2000 04 22 12	49766.40	4.66	213.47	0.00	4.95	4.95	639.63
2000 04 23 12	49766.40	27.07	164.24	0.00	2.98	2.98	678.92
2000 04 24 12	50112.00	21.82	127.62	0.00	2.61	2.61	644.69
2000 04 25 12	50180.64	0.93	513.95	0.00	1.26	1.26	455.91
2000 04 26 12	50457.60	0.09	631.91	0.00	3.22	3.22	426.58
2000 04 27 12	50574.48	2.99	150.02	0.00	1.31	1.31	511.31
2000 04 28 12	50803.20	0.78	182.35	0.00	2.98	2.98	611.05
2000 04 29 12	51004.61	0.16	574.09	0.00	7.75	7.75	669.33
2000 04 30 12	51148.80	1.52	394.06	0.00	7.10	7.10	658.18
2000 05 01 12	51350.21	1.24	467.24	0.00	5.07	5.07	508.39
2000 05 02 12	51494.40	2.46	316.07	0.00	6.36	6.36	656.62
2000 05 03 12	51734.72	0.00	530.50	0.00	5.98	5.98	498.67
2000 05 04 12	51840.00	0.00	518.85	0.00	9.63	9.63	662.23
2000 05 05 12	52080.32	0.60	386.73	0.00	12.81	12.81	989.90
2000 05 06 12	52185.60	0.00	501.28	0.00	11.29	11.29	688.75
2000 05 07 12	52387.01	8.31	358.27	0.00	13.53	13.53	1166.73
2000 05 08 12	52531.20	0.86	545.53	0.00	15.15	15.15	1126.63
2000 05 09 12	52690.93	7.06	173.56	0.00	8.71	8.71	807.57
2000 05 10 12	52876.80	5.84	179.90	0.00	4.30	4.30	648.31
2000 05 11 12	52993.68	23.40	147.94	0.00	4.05	4.05	747.20
2000 05 12 12	53221.71	0.50	525.77	0.00	7.53	7.53	788.27
2000 05 13 12	53247.09	0.00	232.84	0.00	8.21	8.21	837.09
2000 05 14 12	53527.91	8.66	407.14	0.00	10.36	10.36	1017.96
2000 05 15 12	53568.00	0.07	407.07	0.00	9.63	9.63	782.94
2000 05 16 12	53808.32	0.15	379.64	0.00	9.28	9.28	698.77
2000 05 17 12	53913.60	0.04	502.88	0.00	10.36	10.36	730.48
2000 05 18 12	54030.48	19.39	205.48	0.00	9.69	9.69	955.55
2000 05 19 12	54249.66	1.09	562.17	0.00	6.31	6.31	660.07
2000 05 20 12	54263.66	0.00	575.10	0.00	8.25	8.25	535.86
2000 05 21 12	54460.61	0.00	561.31	0.00	11.14	11.14	699.56
2000 05 22 12	54604.11	0.00	560.20	0.00	13.07	13.07	900.41
2000 05 23 12	54629.50	0.72	274.03	0.00	11.27	11.27	965.79
2000 05 24 12	54845.12	12.92	217.85	0.00	8.75	8.75	1035.56
2000 05 25 12	54950.40	12.18	282.54	0.00	10.01	10.01	1119.03
2000 05 26 12	54975.09	3.43	358.16	0.00	11.33	11.33	1043.10
2000 05 27 12	55190.72	0.24	185.06	0.00	9.61	9.61	938.83
2000 05 28 12	55295.31	0.28	218.25	0.00	7.75	7.75	896.95
2000 05 29 12	55300.46	0.00	333.70	0.00	8.64	8.64	899.84
2000 05 30 12	55455.73	0.00	379.36	0.00	11.86	11.86	986.75
2000 05 31 12	55601.51	0.30	274.40	0.00	13.97	13.97	1197.81
2000 06 01 12	55641.60	0.03	450.96	0.00	14.41	14.41	1209.95
2000 06 02 12	55666.30	0.90	219.50	0.00	10.48	10.48	924.75
2000 06 03 12	55801.33	11.19	413.43	0.00	11.34	11.34	1002.28
2000 06 04 12	55914.10	0.00	444.54	0.00	8.74	8.74	660.94
2000 06 05 12	55986.51	0.00	415.88	0.00	7.68	7.68	642.40
2000 06 06 12	55991.66	0.04	417.87	0.00	10.98	10.98	787.95
2000 06 07 12	56055.84	1.04	289.44	0.00	11.24	11.24	1012.36
2000 06 08 12	56146.93	0.79	403.70	0.00	11.10	11.10	900.03
2000 06 09 12	56227.52	3.91	389.28	0.00	12.32	12.32	1051.97
2000 06 10 12	56292.71	0.16	296.49	0.00	8.10	8.10	720.40
2000 06 11 12	56332.11	0.11	408.05	0.00	7.43	7.43	649.12
2000 06 12 12	56332.80	0.08	406.49	0.00	9.78	9.78	721.64
2000 06 13 12	56337.26	0.00	478.16	0.00	13.53	13.53	922.95
2000 06 14 12	56357.50	0.00	513.35	0.00	13.12	13.12	976.99
2000 06 15 12	56401.44	0.00	332.52	0.00	13.51	13.51	1282.43
2000 06 16 12	56449.68	0.00	344.49	0.00	18.37	18.37	1802.63
2000 06 17 12	56492.53	0.00	382.00	0.00	21.03	21.03	1843.31
2000 06 18 12	56492.53	0.21	397.86	0.00	13.53	13.53	1027.90
2000 06 19 12	56492.53	0.05	489.24	0.00	14.36	14.36	1061.04
2000 06 20 12	56534.21	0.00	463.29	0.00	15.95	15.95	1198.05
2000 06 21 12	56534.21	2.68	304.09	0.00	16.59	16.59	1288.11
2000 06 22 12	56492.53	12.27	436.02	0.00	18.44	18.44	1680.43
2000 06 23 12	56492.53	1.41	458.40	0.00	18.37	18.37	1496.82
2000 06 24 12	56449.68	0.00	481.00	0.00	16.02	16.02	1093.06
2000 06 25 12	56449.68	19.30	369.70	0.00	18.84	18.84	1608.67
2000 06 26 12	56401.44	0.99	481.79	0.00	21.01	21.01	1910.81
2000 06 27 12	56357.50	1.46	387.70	0.00	22.37	22.37	2029.00
2000 06 28 12	56337.26	0.00	512.94	0.00	18.37	18.37	1401.51
2000 06 29 12	56332.11	5.59	378.51	0.00	17.39	17.39	1331.06
2000 06 30 12	56323.26	14.10	354.82	0.00	17.13	17.13	1447.54
2000 07 01 12	56259.70	0.14	427.46	0.00	17.33	17.33	1455.16
2000 07 02 12	56188.61	0.00	415.77	0.00	19.38	19.38	1617.72
2000 07 03 12	56104.07	4.55	397.52	0.00	19.41	19.41	1689.00
2000 07 04 12	56011.89	5.84	375.10	0.00	18.65	18.65	1623.33
2000 07 05 12	55987.20	8.79	305.38	0.00	15.32	15.32	1356.87
2000 07 06 12	55977.66	0.91	428.13	0.00	14.94	14.94	1198.75
2000 07 07 12	55881.92	2.55	340.85	0.00	14.56	14.56	1225.68
2000 07 08 12	55758.48	6.44	317.39	0.00	14.14	14.14	1255.74
2000 07 09 12	55646.06	0.09	415.34	0.00	14.92	14.92	1195.17
2000 07 10 12	55632.06	7.21	274.44	0.00	15.66	15.66	1494.08
2000 07 11 12	55536.32	3.41	197.54	0.00	14.05	14.05	1356.14
2000 07 12 12	55364.64	0.02	455.79	0.00	16.62	16.62	1286.98
2000 07 13 12	55296.00	0.00	401.10	0.00	19.36	19.36	1417.22
2000 07 14 12	55255.91	0.00	437.16	0.00	21.38	21.38	1579.99
2000 07 15 12	55110.13	0.70	405.89	0.00	19.54	19.54	1661.37
2000 07 16 12	54950.40	0.27	402.84	0.00	18.67	18.67	1609.25
2000 07 17 12	54910.31	0.95	299.13	0.00	17.22	17.22	1675.73
2000 07 18 12	54764.53	13.81	310.16	0.00	19.04	19.04	1804.27
2000 07 19 12	54604.80	2.88	372.66	0.00	17.10	17.10	1418.34
2000 07 20 12	54564.71	0.00	420.72	0.00	13.59	13.59	1060.58
2000 07 21 12	54327.84	2.37	426.48	0.00	14.87	14.87	1181.37
2000 07 22 12	54259.20	13.33	340.14	0.00	17.36	17.36	1475.21
2000 07 23 12	54153.92	14.25	367.67	0.00	17.23	17.23	1522.52
2000 07 24 12	53918.06	0.00	463.81	0.00	18.99	18.99	1499.63
2000 07 25 12	53904.06	0.06	480.25	0.00	21.06	21.06	1536.33
2000 07 26 12	53636.64	0.00	483.00	0.00	21.13	21.13	1548.31
2000 07 27 12	53568.00	0.00	417.23	0.00	19.19	19.19	1571.80
2000 07 28 12	53423.81	0.21	395.54	0.00	17.85	17.85	1626.17
2000 07 29 12	53222.40	0.27	394.43	0.00	20.75	20.75	1819.84
2000 07 30 12	53149.30	0.00	475.44	0.00	19.34	19.34	1689.35
2000 07 31 12	52876.80	0.06	486.24	0.00	18.75	18.75	1575.12
2000 08 01 12	52836.71	0.00	455.75	0.00	19.16	19.16	1529.41
2000 08 02 12	52535.66	3.07	280.07	0.00	17.49	17.49	1732.76
2000 08 03 12	52521.66	4.70	309.38	0.00	20.69	20.69	2056.51
2000 08 04 12	52210.30	4.47	431.70	0.00	19.91	19.91	1696.08
2000 08 05 12	52184.91	0.00	337.46	0.00	16.15	16.15	1381.63
2000 08 06 12	51864.69	0.00	464.99	0.00	18.91	18.91	1445.86
2000 08 07 12	51840.00	0.16	149.59	0.00	17.26	17.26	1661.24
2000 08 08 12	51519.09	7.76	289.04	0.00	18.83	18.83	1843.63
2000 08 09 12	51494.40	12.71	243.77	0.00	17.98	17.98	1850.57
2000 08 10 12	51153.26	3.18	232.12	0.00	18.12	18.12	1787.85
2000 08 11 12	51148.11	0.00	262.68	0.00	15.88	15.88	1457.87
2000 08 12 12	50803.20	0.00	489.99	0.00	18.14	18.14	1328.14
2000 08 13 12	50802.51	0.01	475.19	0.00	17.60	17.60	1336.11
